,origin,age,color,sex,import_type,sire,dam,dam_sire,horse_id
0,IRE,Unknown,Bay,Gelding,ISG,Holy Roman Emperor,Dance Avenue,Sadler's Wells,S336
1,AUS,Unknown,Bay,Gelding,PPG,Mossman,Inca Lagoon,Hussonet,A257
2,NZ,Unknown,Chestnut,Gelding,PPG,Sakhee's Secret,Grove Nymph,Grosvenor,P436
3,AUS,Unknown,Bay,Gelding,PPG,Dubawi,Seto Chiffon,Barathea,P215
4,FR,Unknown,Bay,Gelding,PP,Arcano,Celestina Agostino,Street Cry,V181
5,IRE,Unknown,Bay,Gelding,PP,Holy Roman Emperor,Ripalong,Revoque,N012
6,AUS,Unknown,Bay,Gelding,PP,Brackenbury,Super Sovereign,Super Jet,T420
7,AUS,Unknown,Bay,Gelding,PPG,Exceed And Excel,Wood Lane,Sadler's Wells,T278
8,AUS,Unknown,Bay,Gelding,PPG,Fastnet Rock,Gayika,Galileo,T007
9,NZ,Unknown,Chestnut,Gelding,PP,Traditionally,Tralae,Snippets,L013
10,FR,Unknown,Bay,Gelding,PP,Hold That Tiger,Sapfo,Peintre Celebre,T142
11,NZ,Unknown,Chestnut,Gelding,PP,Conatus,Princess Zanzibar,Royal Academy,S124
12,NZ,Unknown,Bay,Gelding,PPG,Dubawi,Glamouraad,Volksraad,S059
13,AUS,Unknown,Bay,Gelding,PP,Valixir,Suzy Rocks,Rock Of Gibraltar,T210
14,NZ,Unknown,Brown,Gelding,PPG,Pentire,Nikki's Bride,O'Reilly,S136
15,AUS,Unknown,Bay,Gelding,PPG,Dubawi,Babassu,Desert King,P257
16,AUS,Unknown,Bay,Gelding,PPG,Purrealist,Gemstone Peak,Shovhog,S324
17,NZ,Unknown,Grey,Gelding,PP,Mastercraftsman,Gold Class,Gold Brose,V133
18,AUS,Unknown,Bay,Gelding,PP,Fastnet Rock,Lucky Diva,Perugino,T299
19,NZ,Unknown,Brown,Gelding,PPG,Savabeel,Run Brony Run,Redoute's Choice,V040
20,FR,Unknown,Bay,Gelding,PP,Hurricane Cat,Realdad,Victory Speech,T094
21,AUS,Unknown,Bay,Gelding,PPG,Churchill Downs,Regal Contessa,King Of Kings,P158
22,AUS,Unknown,Bay,Gelding,PPG,Holy Roman Emperor,Coeur Dehere,Dehere,S178
23,GB,Unknown,Bay,Gelding,PP,Dutch Art,Tesary,Danehill,N318
24,NZ,Unknown,Chestnut,Gelding,PP,No Excuse Needed,Port Merion,O'Reilly,N427
25,AUS,Unknown,Chestnut,Gelding,ISG,Encosta de Lago,Succeeding,Flying Spur,M327
26,AUS,Unknown,Chestnut,Gelding,PPG,Akhadan,Ambolene,Bellotto,S054
27,AUS,Unknown,Brown,Gelding,PPG,Good Journey,La Bayadere,Danehill Dancer,N443
28,NZ,Unknown,Bay,Gelding,PP,Mossman,Oh So Royal,Danzero,S299
29,AUS,Unknown,Chestnut,Gelding,PPG,Choisir,Polite,Elusive Quality,T241
30,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Diamond Deck,Octagonal,A077
31,AUS,Unknown,Chestnut,Gelding,PPG,Bon Hoffa,Rondalla,Strategic,T063
32,NZ,Unknown,Bay,Gelding,PPG,Zabeel,Belleville,Danehill,N140
33,GB,Unknown,Bay,Gelding,PP,Teofilo,Late Night,Groom Dancer,S310
34,USA,Unknown,Dark Bay,Brown,PP,War Front,Black Speck,Arch,S152
35,AUS,Unknown,Brown,Gelding,ISG,Sebring,Spirit Of The Nile,Encosta de Lago,T337
36,GB,7,Bay,Gelding,ISG,Fastnet Rock,Tashzara,Intikhab,V315
37,GB,Unknown,Bay,Gelding,PP,Excellent Art,Dolcetto,Danehill Dancer,A112
38,NZ,Unknown,Bay,Gelding,PP,One Cool Cat,Calypso Miss,Elnadim,P280
39,NZ,Unknown,Bay,Gelding,PPG,Bachelor Duke,Palmy,Danehill,P254
40,GB,Unknown,Bay,Gelding,PP,Storming Home,Towaahi,Caerleon,M401
41,AUS,Unknown,Bay,Gelding,PP,Oratorio,Asima,Rory's Jester,S168
42,NZ,9,Brown,Gelding,PPG,Savabeel,Haberdashery,Pins,P421
43,AUS,6,Bay,Gelding,PPG,Toorak Toff,Lady's Light,Toolighttoquit,V225
44,IRE,Unknown,Grey,Gelding,PPG,Dark Angel,Shamah,Unfuwain,P268
45,IRE,Unknown,Bay,Gelding,PP,Shamardal,Love Excelling,Polish Precedent,N195
46,AUS,Unknown,Bay,Gelding,PPG,Onemorenomore,Fuwa,Encosta de Lago,S428
47,AUS,6,Bay,Gelding,PP,Myboycharlie,Aloha Charm,Marauding,A251
48,AUS,Unknown,Bay,Gelding,PPG,Bernardini,Tears Roll Down,Fusaichi Pegasus,S055
49,AUS,Unknown,Bay,Gelding,PP,Street Hero,Black Widow,Rancho Ruler,T003
50,NZ,Unknown,Brown,Gelding,PPG,Falkirk,Delovely,Canny Lad,S022
51,AUS,Unknown,Bay,Gelding,VIS,Mossman,Eighth Wonder,Danehill,S620
52,AUS,Unknown,Bay,Gelding,PPG,Snitzel,Trois Couleurs,Carnegie,T282
53,FR,8,Bay,Gelding,PP,King's Best,Wings Of Glory,Monsun,V192
54,AUS,6,Bay,Gelding,PPG,Smart Missile,Dashie Diva,Dash For Cash,A088
55,AUS,6,Bay,Gelding,PPG,Savabeel,Sotela,Commands,A278
56,AUS,Unknown,Brown,Gelding,PPG,Dubleo,Dare To Defy,Commands,T065
57,AUS,Unknown,Bay,Gelding,PPG,Jezadane,Irish Rainbow,Spectrum,P055
58,IRE,Unknown,Chestnut,Gelding,PP,Excellent Art,Romancing,Dr Devious,S149
59,AUS,Unknown,Chestnut,Gelding,PP,Stratum,Eckland,Spinning World,P103
60,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Gold Class,Gold Brose,S086
61,AUS,Unknown,Chestnut,Gelding,PP,Hussonet,Loftily,Shovhog,N324
62,NZ,Unknown,Bay,Brown,PP,Towkay,Jabeske,Prized,P072
63,GB,Unknown,Bay,Gelding,PP,Invincible Spirit,Agathe Rare,Sadler's Wells,T095
64,IRE,Unknown,Bay,Gelding,PPG,Fast Company,Gloved Hand,Royal Applause,T154
65,AUS,Unknown,Bay,Gelding,PPG,Manhattan Rain,Valadon,Woodman,S321
66,AUS,Unknown,Chestnut,Gelding,PP,Trotamondo,Elegant Angela,Perugino,T164
67,AUS,Unknown,Bay,Gelding,PP,Tale Of The Cat,Royal Season,Royal Academy,K119
68,FR,Unknown,Bay,Gelding,PP,Siyouni,Sagalix,Linamix,V290
69,AUS,Unknown,Bay,Gelding,ISG,Starcraft,Biancalaura,Belong To Me,A318
70,AUS,Unknown,Bay,Gelding,ISG,Fastnet Rock,Permissive,Snippets,S233
71,AUS,Unknown,Brown,Gelding,PPG,Commands,Selwan,Mt Livermore,P214
72,NZ,Unknown,Bay,Gelding,PPG,Rip Van Winkle,La Grandezza,Flying Spur,V160
73,AUS,Unknown,Bay,Gelding,PPG,Break The Vault,Bermuda Rose,Last Tycoon,S405
74,IRE,Unknown,Bay,Gelding,PP,King's Best,Alikhlas,Lahib,L408
75,NZ,Unknown,Bay,Gelding,PPG,King's Chapel,River Chant,Danasinga,M086
76,USA,Unknown,Brown,Gelding,PP,Petionville,Purely Excessive,In Excess,M071
77,NZ,Unknown,Bay,Gelding,VIS,Savabeel,Celebes Sea,Shinko King,V628
78,AUS,Unknown,Bay,Gelding,PPG,Street Cry,Shania Dane,Danehill,S325
79,FR,Unknown,Bay,Gelding,PP,Observatory,Sachet,Royal Academy,S189
80,AUS,Unknown,Bay,Gelding,PPG,Flying Spur,Chenar,Just Awesome,N027
81,IRE,Unknown,Brown,Horse,VIS,New Approach,Uryale,Kendor,A612
82,NZ,Unknown,Chestnut,Gelding,PP,Brilliance,Gold And Red,Gold Brose,S123
83,GB,Unknown,Bay,Gelding,PP,Elnadim,T G's Girl,Selkirk,S144
84,AUS,Unknown,Bay,Gelding,PPG,Sebring,Midnight Queen,Carnegie,V163
85,NZ,Unknown,Bay,Gelding,PP,Bel Danoro,Marendez,Marquetry,V016
